date,SKU,Channel,quantity,Supplier,Country,Region,Store
2021-12-14 00:00:00,Diabetrol,Online Store,1096.0,Merck,Australia,APAC,Store01
2021-12-21 00:00:00,Diabetrol,Online Store,882.0,Merck,South Korea,APAC,Store03
2021-12-28 00:00:00,Diabetrol,Online Store,513.0,Merck,USA,North America,Store06
2022-01-04 00:00:00,Diabetrol,Online Store,798.0,Merck,Egypt,EMEA,Store05
2022-01-11 00:00:00,Diabetrol,Online Store,0.0,Merck,Egypt,EMEA,Store07
2022-01-18 00:00:00,Diabetrol,Online Store,1006.0,Merck,USA,North America,Store08
2022-01-25 00:00:00,Diabetrol,Online Store,907.0,Merck,USA,North America,Store11
2022-02-01 00:00:00,Diabetrol,Online Store,795.0,Merck,Australia,APAC,Store05
2022-02-08 00:00:00,Diabetrol,Online Store,461.0,Merck,Australia,APAC,Store01
2022-02-15 00:00:00,Diabetrol,Online Store,463.0,Merck,USA,North America,Store09
2022-02-22 00:00:00,Diabetrol,Online Store,875.0,Merck,South Korea,APAC,Store06
2022-03-01 00:00:00,Diabetrol,Online Store,1052.0,Merck,USA,North America,Store03
2022-03-08 00:00:00,Diabetrol,Online Store,892.0,Merck,Australia,APAC,Store08
2022-03-15 00:00:00,Diabetrol,Online Store,1120.0,Merck,Germany,EMEA,Store01
2022-03-22 00:00:00,Diabetrol,Online Store,583.0,Merck,Canada,North America,Store04
2022-03-29 00:00:00,Diabetrol,Online Store,792.0,Merck,Canada,North America,Store06
2022-04-05 00:00:00,Diabetrol,Online Store,1218.0,Merck,South Korea,APAC,Store09
2022-04-12 00:00:00,Diabetrol,Online Store,929.0,Merck,Australia,APAC,Store05
2022-04-19 00:00:00,Diabetrol,Online Store,0.0,Merck,USA,North America,Store06
2022-04-26 00:00:00,Diabetrol,Online Store,876.0,Merck,USA,North America,Store05
2022-05-03 00:00:00,Diabetrol,Online Store,1501.0,Merck,Egypt,EMEA,Store05
2022-05-10 00:00:00,Diabetrol,Online Store,667.0,Merck,South Korea,APAC,Store12
2022-05-17 00:00:00,Diabetrol,Online Store,1067.0,Merck,Australia,APAC,Store12
2022-05-24 00:00:00,Diabetrol,Online Store,0.0,Merck,USA,North America,Store09
2022-05-31 00:00:00,Diabetrol,Online Store,1239.0,Merck,Canada,North America,Store05
2022-06-07 00:00:00,Diabetrol,Online Store,377.0,Merck,Australia,APAC,Store01
2022-06-14 00:00:00,Diabetrol,Online Store,973.0,Merck,South Korea,APAC,Store02
2022-06-21 00:00:00,Diabetrol,Online Store,913.0,Merck,South Korea,APAC,Store12
2022-06-28 00:00:00,Diabetrol,Online Store,684.0,Merck,Egypt,EMEA,Store07
2022-07-05 00:00:00,Diabetrol,Online Store,551.0,Merck,Egypt,EMEA,Store03
2022-07-12 00:00:00,Diabetrol,Online Store,512.0,Merck,Egypt,EMEA,Store08
2022-07-19 00:00:00,Diabetrol,Online Store,0.0,Merck,Australia,APAC,Store02
2022-07-26 00:00:00,Diabetrol,Online Store,995.0,Merck,USA,North America,Store08
2022-08-02 00:00:00,Diabetrol,Online Store,945.0,Merck,Canada,North America,Store07
2022-08-09 00:00:00,Diabetrol,Online Store,395.0,Merck,Germany,EMEA,Store07
2022-08-16 00:00:00,Diabetrol,Online Store,1191.0,Merck,Egypt,EMEA,Store07
2022-08-23 00:00:00,Diabetrol,Online Store,596.0,Merck,Germany,EMEA,Store11
2022-08-30 00:00:00,Diabetrol,Online Store,416.0,Merck,Australia,APAC,Store04
2022-09-06 00:00:00,Diabetrol,Online Store,1465.0,Merck,Canada,North America,Store04
2022-09-13 00:00:00,Diabetrol,Online Store,1246.0,Merck,South Korea,APAC,Store04
2022-09-20 00:00:00,Diabetrol,Online Store,762.0,Merck,USA,North America,Store02
2022-09-27 00:00:00,Diabetrol,Online Store,241.0,Merck,Australia,APAC,Store09
2022-10-04 00:00:00,Diabetrol,Online Store,0.0,Merck,Egypt,EMEA,Store04
2022-10-11 00:00:00,Diabetrol,Online Store,1320.0,Merck,South Korea,APAC,Store05
2022-10-18 00:00:00,Diabetrol,Online Store,1325.0,Merck,Egypt,EMEA,Store12
2022-10-25 00:00:00,Diabetrol,Online Store,968.0,Merck,Germany,EMEA,Store03
2022-11-01 00:00:00,Diabetrol,Online Store,960.0,Merck,Australia,APAC,Store11
2022-11-08 00:00:00,Diabetrol,Online Store,1239.0,Merck,Egypt,EMEA,Store06
2022-11-15 00:00:00,Diabetrol,Online Store,2020.0,Merck,Egypt,EMEA,Store07
2022-11-22 00:00:00,Diabetrol,Online Store,1849.0,Merck,USA,North America,Store03
2022-11-29 00:00:00,Diabetrol,Online Store,1527.0,Merck,USA,North America,Store05
2022-12-06 00:00:00,Diabetrol,Online Store,873.0,Merck,Germany,EMEA,Store08
2022-12-13 00:00:00,Diabetrol,Online Store,652.0,Merck,USA,North America,Store07
2022-12-20 00:00:00,Diabetrol,Online Store,3151.0,Merck,Australia,APAC,Store08
2022-12-27 00:00:00,Diabetrol,Online Store,708.0,Merck,Germany,EMEA,Store10
2023-01-03 00:00:00,Diabetrol,Online Store,602.0,Merck,Australia,APAC,Store12
2023-01-10 00:00:00,Diabetrol,Online Store,832.0,Merck,Germany,EMEA,Store05
2023-01-17 00:00:00,Diabetrol,Online Store,501.0,Merck,Canada,North America,Store02
2023-01-24 00:00:00,Diabetrol,Online Store,689.0,Merck,Australia,APAC,Store01
2023-01-31 00:00:00,Diabetrol,Online Store,543.0,Merck,Egypt,EMEA,Store07
2023-02-07 00:00:00,Diabetrol,Online Store,0.0,Merck,USA,North America,Store07
2023-02-14 00:00:00,Diabetrol,Online Store,0.0,Merck,Germany,EMEA,Store11
2023-02-21 00:00:00,Diabetrol,Online Store,0.0,Merck,USA,North America,Store04
2023-02-28 00:00:00,Diabetrol,Online Store,1404.0,Merck,South Korea,APAC,Store01
2023-03-07 00:00:00,Diabetrol,Online Store,367.0,Merck,USA,North America,Store03
2023-03-14 00:00:00,Diabetrol,Online Store,246.0,Merck,Canada,North America,Store12
2023-03-21 00:00:00,Diabetrol,Online Store,697.0,Merck,South Korea,APAC,Store06
2023-03-28 00:00:00,Diabetrol,Online Store,760.0,Merck,South Korea,APAC,Store11
2023-04-04 00:00:00,Diabetrol,Online Store,0.0,Merck,Canada,North America,Store04
2023-04-11 00:00:00,Diabetrol,Online Store,1228.0,Merck,South Korea,APAC,Store06
2023-04-18 00:00:00,Diabetrol,Online Store,825.0,Merck,Canada,North America,Store02
2023-04-25 00:00:00,Diabetrol,Online Store,1032.0,Merck,South Korea,APAC,Store11
2023-05-02 00:00:00,Diabetrol,Online Store,200.0,Merck,Australia,APAC,Store02
2023-05-09 00:00:00,Diabetrol,Online Store,1064.0,Merck,Canada,North America,Store04
2023-05-16 00:00:00,Diabetrol,Online Store,779.0,Merck,USA,North America,Store10
2023-05-23 00:00:00,Diabetrol,Online Store,144.0,Merck,Egypt,EMEA,Store09
2023-05-30 00:00:00,Diabetrol,Online Store,693.0,Merck,Germany,EMEA,Store03
2023-06-06 00:00:00,Diabetrol,Online Store,374.0,Merck,Egypt,EMEA,Store02
2023-06-13 00:00:00,Diabetrol,Online Store,1303.0,Merck,Egypt,EMEA,Store08
2023-06-20 00:00:00,Diabetrol,Online Store,0.0,Merck,South Korea,APAC,Store06
2023-06-27 00:00:00,Diabetrol,Online Store,798.0,Merck,USA,North America,Store03
2023-07-04 00:00:00,Diabetrol,Online Store,1251.0,Merck,Australia,APAC,Store05
2023-07-11 00:00:00,Diabetrol,Online Store,774.0,Merck,Australia,APAC,Store08
2023-07-18 00:00:00,Diabetrol,Online Store,687.0,Merck,Canada,North America,Store03
2023-07-25 00:00:00,Diabetrol,Online Store,683.0,Merck,Egypt,EMEA,Store07
2023-08-01 00:00:00,Diabetrol,Online Store,967.0,Merck,Germany,EMEA,Store06
2023-08-08 00:00:00,Diabetrol,Online Store,731.0,Merck,USA,North America,Store03
2023-08-15 00:00:00,Diabetrol,Online Store,415.0,Merck,Australia,APAC,Store08
2023-08-22 00:00:00,Diabetrol,Online Store,177.0,Merck,USA,North America,Store07
2023-08-29 00:00:00,Diabetrol,Online Store,2081.0,Merck,Egypt,EMEA,Store10
2023-09-05 00:00:00,Diabetrol,Online Store,607.0,Merck,Canada,North America,Store05
2023-09-12 00:00:00,Diabetrol,Online Store,908.0,Merck,Australia,APAC,Store10
2023-09-19 00:00:00,Diabetrol,Online Store,1060.0,Merck,Egypt,EMEA,Store07
2023-09-26 00:00:00,Diabetrol,Online Store,203.0,Merck,Canada,North America,Store09
2023-10-03 00:00:00,Diabetrol,Online Store,1989.0,Merck,South Korea,APAC,Store08
2023-10-10 00:00:00,Diabetrol,Online Store,356.0,Merck,Egypt,EMEA,Store02
2023-10-17 00:00:00,Diabetrol,Online Store,315.0,Merck,Germany,EMEA,Store03
2023-10-24 00:00:00,Diabetrol,Online Store,538.0,Merck,South Korea,APAC,Store11
2021-02-02 00:00:00,Fungistop,Online Store,113.0,Merck,Egypt,EMEA,Store04
2021-02-09 00:00:00,Fungistop,Online Store,20.0,Merck,South Korea,APAC,Store04
2021-02-16 00:00:00,Fungistop,Online Store,162.0,Merck,USA,North America,Store11
2021-02-23 00:00:00,Fungistop,Online Store,68.0,Merck,Egypt,EMEA,Store07
2021-03-02 00:00:00,Fungistop,Online Store,165.0,Merck,Egypt,EMEA,Store07
2021-03-09 00:00:00,Fungistop,Online Store,35.0,Merck,Egypt,EMEA,Store03
2021-03-16 00:00:00,Fungistop,Online Store,38.0,Merck,Egypt,EMEA,Store09
2021-03-23 00:00:00,Fungistop,Online Store,176.0,Merck,Australia,APAC,Store03
2021-03-30 00:00:00,Fungistop,Online Store,166.0,Merck,Canada,North America,Store02
2021-04-06 00:00:00,Fungistop,Online Store,268.0,Merck,Canada,North America,Store09
2021-04-13 00:00:00,Fungistop,Online Store,61.0,Merck,Canada,North America,Store02
2021-04-20 00:00:00,Fungistop,Online Store,186.0,Merck,South Korea,APAC,Store09
2021-04-27 00:00:00,Fungistop,Online Store,131.0,Merck,South Korea,APAC,Store02
2021-05-04 00:00:00,Fungistop,Online Store,67.0,Merck,Egypt,EMEA,Store01
2021-05-11 00:00:00,Fungistop,Online Store,78.0,Merck,USA,North America,Store02
2021-05-18 00:00:00,Fungistop,Online Store,108.0,Merck,South Korea,APAC,Store03
